MAPPED_TRAIT,NLP_TERM,NLP_MESH_ID
secretory carrier-associated membrane protein 5 measurement,secretory,D030501
PLAUR/PRSS8 protein level ratio in blood,PLAUR/PRSS8 protein,
phospholipids in large VLDL measurement,phospholipids,D010743
CDKN2D/MANF protein level ratio in blood,CDKN2D/MANF protein,
level of FK506-binding protein-like in blood,level,D000082162
glucose-6-phosphate isomerase measurement,glucose-6-phosphate,D019298
"age at diagnosis, type 2 diabetes mellitus",age,D000099087
"systolic blood pressure, response to cold pressor test",systolic blood pressure,
"cholesteryl ester measurement, blood VLDL cholesterol amount",cholesteryl ester measurement,
level of GRIP and coiled-coil domain-containing protein 1 in blood,level,D000082162
FYB1/MANF protein level ratio in blood,FYB1/MANF protein,
MITD1/RHOC protein level ratio in blood,MITD1/RHOC protein,
tyrosine-protein phosphatase non-receptor type substrate 1 measurement,tyrosine-protein phosphatase non-receptor type substrate 1,
EFNA1/TNFRSF1A protein level ratio in blood,EFNA1/TNFRSF1A protein,
"selenide, water dikinase 1 measurement",selenide,
"fatty acid-binding protein, heart measurement",heart measurement,
level of disintegrin and metalloproteinase domain-containing protein 22 in blood,level,D000082162
CD300C/MANSC1 protein level ratio in blood,CD300C/MANSC1 protein,
LAT/MANF protein level ratio in blood,LAT/MANF protein,
"depressive symptom measurement, non-high density lipoprotein cholesterol measurement",depressive symptom measurement,
level of F-box-like/WD repeat-containing protein TBL1X in blood,level,D000082162
homeodomain-interacting protein kinase 3 measurement,homeodomain-interacting protein kinase 3,
cholesterol esters in large LDL measurement,cholesterol esters,D002788
level of heat shock protein beta-6 in blood serum,level,D000082162
ERBB2/FURIN protein level ratio in blood,ERBB2/FURIN protein,
DAG1/HBEGF protein level ratio in blood,DAG1/HBEGF protein,
triglycerides to total lipids in large LDL percentage ,triglycerides,D014280
level of NEDD4-like E3 ubiquitin-protein ligase WWP2 in blood,level,D000082162
CD300C/NBL1 protein level ratio in blood,CD300C/NBL1 protein,
protein JTB measurement,protein JTB,
AHSP/CA2 protein level ratio in blood,AHSP/CA2 protein,
ADAM23/BSG protein level ratio in blood,ADAM23/BSG,
"lipid measurement, high density lipoprotein cholesterol measurement",lipid measurement,
TMSB10/TREML2 protein level ratio in blood,TMSB10/TREML2 protein,
alpha-fetoprotein amount,alpha-fetoprotein,D000509
"cholesteryl esters:total lipids ratio, intermediate density lipoprotein measurement",cholesteryl esters,
isochorismatase domain-containing protein 1 measurement,isochorismatase domain-containing protein 1,
erythrocyte band 7 integral membrane protein measurement,erythrocyte,D001457
level of disintegrin and metalloproteinase domain-containing protein 23 in blood serum,level,D000082162
ACOX1/VSIR protein level ratio in blood,ACOX1/VSIR protein,
CD99/CD99L2 protein level ratio in blood,CD99/CD99L2 protein,
APP/CD40LG protein level ratio in blood,APP/CD40LG protein,
TIMP3/ZBTB16 protein level ratio in blood,TIMP3/ZBTB16 protein,
disintegrin and metalloproteinase domain-containing protein 23 measurement,disintegrin,D019483
"esterified cholesterol measurement, high density lipoprotein cholesterol measurement",esterified cholesterol measurement,
FGFR2/TGFBR2 protein level ratio in blood,FGFR2/TGFBR2,
CUB and Sushi domain-containing protein 2 measurement,CUB,
ITGA6/THPO protein level ratio in blood,ITGA6/THPO protein,
protein GPR107 measurement,protein GPR107,
CD84/TREML2 protein level ratio in blood,CD84/TREML2 protein,
"low density lipoprotein cholesterol measurement, phospholipid amount",low density lipoprotein cholesterol measurement,
"fetal genotype effect measurement, protein measurement, monokine induced by gamma interferon measurement",fetal,D005314
phospholipids in very large VLDL measurement ,phospholipids,D010743
level of nucleosome assembly protein 1-like 4 in blood serum,level,D000082162
Agouti-related protein measurement,Agouti-related protein measurement,
zinc fingers and homeoboxes protein 3 measurement,zinc fingers,D016335
ITGA6/STX8 protein level ratio in blood,ITGA6/STX8 protein,
"type 2 diabetes mellitus, major depressive disorder",type 2 diabetes mellitus,
"phospholipid amount, high density lipoprotein cholesterol measurement",high density lipoprotein cholesterol measurement,
CD84/F2R protein level ratio in blood,CD84/F2R,
level of TNFAIP3-interacting protein 1 in blood,level,D000082162
zinc-alpha-2-glycoprotein measurement,zinc-alpha-2-glycoprotein measurement,
"phospholipids:total lipids ratio, blood VLDL cholesterol amount",phospholipids,D010743
Dickkopf-related protein 4 measurement,Dickkopf-related protein 4,
"pack-years measurement, systolic blood pressure",pack-years measurement,
level of CDK5 regulatory subunit-associated protein 3 in blood,level,D000082162
low molecular weight phosphotyrosine protein phosphatase measurement,low,D002303
familial lipoprotein lipase deficiency,familial lipoprotein lipase deficiency,
CD84/DAG1 protein level ratio in blood,CD84/DAG1,
"cholesteryl esters:total lipids ratio, high density lipoprotein cholesterol measurement",cholesteryl esters,
"membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2 measurement",membrane-associated guanylate kinase,
level of vacuolar protein sorting-associated protein 53 in blood,level,D000082162
DAG1/F2R protein level ratio in blood,DAG1/F2R protein,
"attention deficit hyperactivity disorder, obsessive-compulsive symptom measurement, anorexia nervosa, type 2 diabetes mellitus, major depressive disorder",attention,D001288
"blood VLDL cholesterol amount, chylomicron amount",chylomicron,D053298
MGLL/STK4 protein level ratio in blood,MGLL/STK4 protein,
TGFBI/VASN protein level ratio in blood,TGFBI/VASN protein,
level of ribosomal protein S6 kinase alpha-1 in blood serum,level,D000082162
level of cell division cycle protein 27 in blood,level,D000082162
DAG1/SCARF1 protein level ratio in blood,DAG1/SCARF1 protein,
LAMP3/PRSS8 protein level ratio in blood,LAMP3/PRSS8 protein,
protein HEG homolog 1 measurement,HEG,
HPCAL1/PLA2G4A protein level ratio in blood,HPCAL1/PLA2G4A protein,
"free cholesterol measurement, blood VLDL cholesterol amount",free cholesterol measurement,
free cholesterol in small HDL measurement ,free cholesterol,
"complement factor H measurement, protein binding measurement",complement factor H measurement,
level of GRB10-interacting GYF protein 2 in blood,level,D000082162
MAP2K6/PPP1R12A protein level ratio in blood,MAP2K6/PPP1R12A protein,
ITGB1BP2/MED18 protein level ratio in blood,blood,D001769
age of onset of type 2 diabetes mellitus,age,D000099087
cystic fibrosis-related diabetes,cystic fibrosis-related diabetes,
level of receptor-type tyrosine-protein phosphatase beta in blood,level,D000082162
tetratricopeptide repeat protein 17 measurement,tetratricopeptide repeat protein,
"phospholipids:total lipids ratio, intermediate density lipoprotein measurement",phospholipids,D010743
PPP1R9B/TDRKH protein level ratio in blood,PPP1R9B/TDRKH protein,
CASP8/RILP protein level ratio in blood,CASP8/RILP protein,
"low density lipoprotein cholesterol measurement, phospholipids:total lipids ratio",low density lipoprotein cholesterol measurement,
level of PDZ domain-containing protein GIPC3 in blood,level,D000082162
GDP-fucose protein O-fucosyltransferase 1 measurement,GDP-fucose protein O-fucosyltransferase 1 measurement,
ITGB1BP2/LAT2 protein level ratio in blood,ITGB1BP2/LAT2 protein,
level of ARF GTPase-activating protein GIT1 in blood,level,D000082162
docosahexaenoic acid to total fatty acids percentage ,docosahexaenoic acid,D004281
"lipid measurement, blood VLDL cholesterol amount, chylomicron amount",lipid measurement,
protein FAM3D measurement,protein FAM3D,
CASP8/PRDX6 protein level ratio in blood,CASP8/PRDX6 protein,
nutritionally-regulated adipose and cardiac enriched protein homolog measurement,nutritionally-regulated adipose,
DIABLO/PRKAR1A protein level ratio in blood,DIABLO/PRKAR1A protein,
level of protein TMED8 in blood,level,D000082162
CASP8/PPP3R1 protein level ratio in blood,CASP8/PPP3R1 protein,
level of vasodilator-stimulated phosphoprotein in blood,level,D000082162
fibroblast growth factor 2 amount,fibroblast growth factor 2,D016222
CNPY4/INPP1 protein level ratio in blood,CNPY4/INPP1 protein,
antihyperlipidemic drug use measurement,antihyperlipidemic drug,
vitamin C measurement,vitamin C measurement,
rho GTPase-activating protein 25 measurement,GTPase-activating protein,D020690
level of UBX domain-containing protein 1 in blood,level,D000082162
platelet glycoprotein 4 level,platelet glycoprotein 4,
paired box protein Pax-4 measurement,paired box protein,
"cholesterol:total lipids ratio, low density lipoprotein cholesterol measurement",cholesterol,D002784
INPP1/TBCC protein level ratio in blood,INPP1/TBCC protein,
metalloproteinase inhibitor 3 measurement,metalloproteinase,D020781
F2R/SEMA4D protein level ratio in blood,F2R/SEMA4D protein,
HPCAL1/S100A4 protein level ratio in blood,HPCAL1/S100A4 protein,
"free cholesterol:total lipids ratio, blood VLDL cholesterol amount",free cholesterol,
GGH/INHBC protein level ratio in blood,GGH/INHBC protein,
prostate and testis expressed protein 1 measurement,prostate,D011467
DOK2/PDLIM7 protein level ratio in blood,DOK2/PDLIM7 protein,
INPP1/PRDX5 protein level ratio in blood,INPP1/PRDX5 protein,
LEPR/NRCAM protein level ratio in blood,LEPR/NRCAM protein,
GP6/HPCAL1 protein level ratio in blood,GP6/HPCAL1 protein,
level of protein FAM13A in blood,level,D000082162
"total cholesterol measurement, triglyceride measurement, low density lipoprotein cholesterol measurement, high density lipoprotein cholesterol measurement",total cholesterol measurement,
CD22/CD79B protein level ratio in blood,CD22/CD79B protein,
COMP/TGFBI protein level ratio in blood,COMP/TGFBI protein,
ITGB1BP2/MITD1 protein level ratio in blood,ITGB1BP2/MITD1 protein,
"migraine disorder, type 2 diabetes mellitus",migraine disorder,D008881
phosphoribosyl pyrophosphate synthase-associated protein 1 measurement,phosphoribosyl,D001276
level of serine/threonine-protein kinase STK11 in blood,level,D000082162
"response to stress, systolic blood pressure change measurement",response,D061745
level of forkhead box protein O3 in blood,level,D000082162
ITGB1BP2/PTPN6 protein level ratio in blood,ITGB1BP2/PTPN6 protein,
"level of sushi, nidogen and EGF-like domain-containing protein 1 in blood",level,D000082162
fibroblast growth factor 10 amount,fibroblast growth factor,D016220
"response to antipsychotic drug, high density lipoprotein cholesterol measurement",response,D061745
total cholesterol in large LDL,total cholesterol,
KYNU/SCLY protein level ratio in blood,KYNU/SCLY protein,
transmembrane protein 87B measurement,transmembrane protein,
level of protein FosB in blood,level,D000082162
diet measurement,diet measurement,
level of phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein in blood,level,D000082162
ITGB1BP2/STAT5B protein level ratio in blood,ITGB1BP2/STAT5B protein,
"phospholipid amount, intermediate density lipoprotein measurement",intermediate density lipoprotein measurement,
level of tumor protein D54 in blood,level,D000082162
"lifestyle measurement, alcohol consumption quality",lifestyle measurement,
"cardiovascular disease, response to calcium channel blocker",cardiovascular disease,D002318
mitogen-activated protein kinase 12 measurement,mitogen-activated protein kinase,D048031
cholesterol to total lipids in medium LDL percentage ,cholesterol,D002784
"triglycerides:total lipids ratio, low density lipoprotein cholesterol measurement",triglycerides,D014280
KIFBP/SIRT2 protein level ratio in blood,KIFBP/SIRT2 protein,
free cholesterol in large VLDL measurement ,free cholesterol,
"free cholesterol measurement, high density lipoprotein cholesterol measurement",free cholesterol measurement,
"cholesterol:total lipids ratio, high density lipoprotein cholesterol measurement",cholesterol,D002784
vitamin B measurement,vitamin B measurement,
CD58/ERBB3 protein level ratio in blood,CD58/ERBB3 protein,
coiled-coil domain-containing protein 51 measurement,coiled-coil domain-containing protein,
growth arrest and DNA damage-inducible proteins-interacting protein 1 measurement,growth arrest,
EDAR/ITGB1BP2 protein level ratio in blood,EDAR/ITGB1BP2 protein,
"triglyceride measurement, low density lipoprotein cholesterol measurement",triglyceride measurement,
vacuolar protein sorting-associated protein 4B measurement,vacuolar protein,
"wap, kazal, immunoglobulin, kunitz and ntr domain-containing protein 1 measurement",wap,D000081102
delta-like protein 4 measurement,delta-like protein 4,
"free cholesterol:total lipids ratio, intermediate density lipoprotein measurement",free cholesterol,
"triglyceride measurement, intermediate density lipoprotein measurement",triglyceride measurement,
MAVS/PPP1R9B protein level ratio in blood,MAVS/PPP1R9B protein,
"cystic fibrosis, type 2 diabetes mellitus",cystic fibrosis,D003550
MANF/PMVK protein level ratio in blood,MANF/PMVK protein,
inhibitor of growth protein 1 amount,inhibitor,D058888
"cholesteryl ester measurement, blood VLDL cholesterol amount, chylomicron amount",cholesteryl ester measurement,
level of vacuolar protein sorting-associated protein 28 in blood,level,D000082162
CASP8/PFKFB2 protein level ratio in blood,CASP8/PFKFB2 protein,
ABHD14B/INPP1 protein level ratio in blood,ABHD14B/INPP1 protein,
nuclear protein MDM1 measurement,nuclear protein,D009687
MANF/PDLIM7 protein level ratio in blood,MANF/PDLIM7 protein,
level of protein SGT1 in blood,level,D000082162
HPCAL1/SERPINB9 protein level ratio in blood,HPCAL1/SERPINB9,
IPCEF1/TBCC protein level ratio in blood,IPCEF1/TBCC protein,
level of TGF-beta-activated kinase 1 and MAP3K7-binding protein 2 in blood,level,D000082162
"cis/trans-18:2 fatty acid measurement, trans fatty acid measurement",fatty acid measurement,
receptor tyrosine-protein kinase erbb-4 measurement,measurement,D054791
MANF/NCK2 protein level ratio in blood,MANF/NCK2 protein,
F7/VASN protein level ratio in blood,F7/VASN protein,
CDC27/CEP85 protein level ratio in blood,CDC27/CEP85 protein,
"triglycerides:total lipids ratio, blood VLDL cholesterol amount",triglycerides,D014280
level of syntaxin-binding protein 3 in blood,level,D000082162
MAP2K6/NT5C3A protein level ratio in blood,MAP2K6/NT5C3A protein,
level of mitochondrial protein C2orf69 in blood,level,D000082162
total cholesterol change measurement,total cholesterol change,
alcohol and nicotine codependence,alcohol,D064829
level of syntaxin-binding protein 1 in blood,level,D000082162
"attention deficit hyperactivity disorder, type 2 diabetes mellitus",attention,D001288
CLIP2/PPP1R9B protein level ratio in blood,CLIP2/PPP1R9B protein,
TMSB10/TRIAP1 protein level ratio in blood,TMSB10/TRIAP1 protein,
CD84/SDC4 protein level ratio in blood,CD84/SDC4 protein,
FGF21/LEP protein level ratio in blood,FGF21/LEP protein,
level of proline-rich protein 4 in blood,level,D000082162
level of C4b-binding protein beta chain in blood,level,D000082162
CASP8/INPP1 protein level ratio in blood,CASP8/INPP1 protein,
HEXIM1/TRIAP1 protein level ratio in blood,HEXIM1/TRIAP1 protein,
APOM/MCAM protein level ratio in blood,APOM/MCAM protein,
"diet measurement, apolipoprotein B measurement",diet measurement,
HPCAL1/MPIG6B protein level ratio in blood,HPCAL1/MPIG6B protein,
GAL/PM20D1 protein level ratio in blood,protein level,
"diet measurement, sex hormone-binding globulin measurement",diet measurement,
CD84/DKK1 protein level ratio in blood,CD84/DKK1 protein,
DRG2/INPP1 protein level ratio in blood,DRG2/INPP1 protein,
galectin-3-binding protein measurement,galectin-3-binding protein,
"cholesterol:total lipids ratio, cholesteryl esters:total lipids ratio",cholesterol,D002784
INPP1/NUDT2 protein level ratio in blood,INPP1/NUDT2 protein,
total lipids in chylomicrons and extremely large VLDL measurement ,lipids,D008055
CD84/CDKN1A protein level ratio in blood,CD84/CDKN1A protein,
"esterified cholesterol measurement, blood VLDL cholesterol amount",esterified cholesterol measurement,
"fructose measurement, glucose measurement, galactose measurement",fructose,D005632
"iron biomarker measurement, transferrin measurement",iron,D007501
matrix metalloproteinase-17 measurement,matrix,D001857
ITGA11/ITGAV protein level ratio in blood,ITGA11/ITGAV protein,
APP/BIN2 protein level ratio in blood,APP/BIN2 protein,
INPP1/NT5C3A protein level ratio in blood,INPP1/NT5C3A protein,
"triglycerides:total lipids ratio, blood VLDL cholesterol amount, chylomicron amount",triglycerides,D014280
IGFBP1/IGFBP2 protein level ratio in blood,IGFBP1/IGFBP2 protein,
cas scaffolding protein family member 4 measurement,measurement,D054791
glioma pathogenesis-related protein 1 measurement,glioma pathogenesis-related protein 1,
fatty acid change measurement,fatty acid,D000090943
total lipids in large VLDL,lipids,D008055
APP/LAMA4 protein level ratio in blood,APP/LAMA4 protein,
MANF/PTPN6 protein level ratio in blood,MANF/PTPN6 protein,
MAP2K6/PRTFDC1 protein level ratio in blood,MAP2K6/PRTFDC1 protein,
INPP1/MPI protein level ratio in blood,INPP1/MPI protein,
CD55/CHI3L1 protein level ratio in blood,CD55/CHI3L1 protein,
"alcohol use disorder measurement, alcohol consumption quality",alcohol use disorder,
macrovascular complications of diabetes,macrovascular,
MANF/MPIG6B protein level ratio in blood,MANF/MPIG6B protein level,
cysteine-rich with EGF-like domain protein 1 measurement,cysteine-rich,D055515
FADD/MSRA protein level ratio in blood,FADD/MSRA protein,
"alcohol use disorder measurement, alcohol dependence",alcohol use disorder,
MANF/MIF protein level ratio in blood,MANF/MIF protein,
non-high density lipoprotein cholesterol measurement,non-high density lipoprotein cholesterol measurement,
calcium/calmodulin-dependent protein kinase type 1D measurement,calcium/calmodulin-dependent protein kinase type 1D measurement,
"low density lipoprotein cholesterol measurement, cholesteryl esters:total lipids ratio",low density lipoprotein cholesterol measurement,
response to vitamin,response,D061745
MANF/MESD protein level ratio in blood,MANF/MESD protein,
chitinase-3-like protein 1 measurement,chitinase-3-like protein 1,D000071451
ras-related protein Rab-26 measurement,ras-related protein,
FURIN/PLA2G15 protein level ratio in blood,FURIN/PLA2G15 protein,
level of tight junction-associated protein 1 in blood,level,D000082162
"fatty acid amount, linoleic acid measurement",fatty acid,D000090943
PDGFA/SPARC protein level ratio in blood,PDGFA/SPARC protein,
FURIN/IGSF3 protein level ratio in blood,FURIN/IGSF3 protein,
longitudinal alcohol consumption measurement,longitudinal alcohol consumption measurement,
MAP2K6/SAMD9L protein level ratio in blood,MAP2K6/SAMD9L protein,
cysteine and glycine-rich protein 2 measurement,cysteine,D003545
DNAJA2/HPCAL1 protein level ratio in blood,DNAJA2/HPCAL1 protein,
level of transmembrane protein 106A in blood,level,D000082162
CRADD/TBCB protein level ratio in blood,CRADD/TBCB protein,
PDGFB/SPARC protein level ratio in blood,PDGFB/SPARC protein,
level of sialomucin core protein 24 in blood serum,level,D000082162
DSC2/SIGLEC1 protein level ratio in blood,DSC2/SIGLEC1 protein,
IPCEF1/TBCB protein level ratio in blood,IPCEF1/TBCB protein,
CD164/CD99 protein level ratio in blood,CD164/CD99 protein,
"drug use measurement, Hypercholesterolemia",drug use measurement,
BCR/ITGB1BP2 protein level ratio in blood,BCR/ITGB1BP2 protein,
level of serine/threonine-protein kinase 4 in blood,level,D000082162
LCN2/PGLYRP1 protein level ratio in blood,LCN2/PGLYRP1 protein,
DAPP1/HPCAL1 protein level ratio in blood,DAPP1/HPCAL1 protein,
"triglycerides:total lipids ratio, intermediate density lipoprotein measurement",triglycerides,D014280
CD79B/CKAP4 protein level ratio in blood,CD79B/CKAP4 protein,
total lipids in small VLDL,lipids,D008055
level of serine/threonine-protein kinase 24 in blood,level,D000082162
MANF/TXNDC5 protein level ratio in blood,MANF/TXNDC5 protein,
"response to dietary antigen, serum IgG amount",response,D061745
"total cholesterol measurement, low density lipoprotein cholesterol measurement",total cholesterol measurement,
level of centrosomal protein 20 in blood,level,D000082162
MANF/STIP1 protein level ratio in blood,MANF/STIP1 protein,
"diet measurement, low density lipoprotein cholesterol measurement",diet measurement,
level of oligodendrocyte-myelin glycoprotein in blood,level,D000082162
level of plexin domain-containing protein 2 in blood,level,D000082162
type 2 diabetes nephropathy,type 2 diabetes nephropathy,
AHSP/BLVRB protein level ratio in blood,AHSP/BLVRB protein,
"diet measurement, adiponectin measurement",diet measurement,
FLT4/ICAM2 protein level ratio in blood,FLT4/ICAM2 protein,
level of chitinase-3-like protein 1 in blood serum,level,D000082162
MANF/SNX9 protein level ratio in blood,MANF/SNX9 protein,
level of SRSF protein kinase 2 in blood,level,D000082162
"cholesteryl esters:total lipids ratio, blood VLDL cholesterol amount",cholesteryl esters,
protein S100-A11 measurement,protein,D048948
CHI3L1/HSPG2 protein level ratio in blood,CHI3L1/HSPG2 protein,
CD84/ITGA6 protein level ratio in blood,CD84/ITGA6 protein,
CTSD/PRCP protein level ratio in blood,CTSD/PRCP protein,
CHI3L1/PRSS8 protein level ratio in blood,CHI3L1/PRSS8 protein,
"free cholesterol:total lipids ratio, high density lipoprotein cholesterol measurement",free cholesterol,
level of signal recognition particle 14 kDa protein in blood,level,D000082162
glycoprotein hormones alpha chain measurement,glycoprotein hormones,D015292
CCL11/CCL7 protein level ratio in blood,CCL11/CCL7 protein,
LEPR/NTRK2 protein level ratio in blood,LEPR/NTRK2 protein level,
blood pressure trait,blood pressure trait,
RNA-binding protein 3 measurement,RNA-binding protein 3,
level of protein sprouty homolog 2 in blood,level,D000082162
CKAP4/LTBR protein level ratio in blood,CKAP4/LTBR protein,
polyunsaturated fatty acid measurement,polyunsaturated fatty acid measurement,
"docosahexaenoic acid measurement, fatty acid amount",docosahexaenoic acid measurement,
"social deprivation, low density lipoprotein cholesterol measurement",social deprivation,D000091489
"diastolic blood pressure change measurement, response to stress",diastolic blood pressure change measurement,
uncharacterized protein KIAA0040 measurement,uncharacterized protein KIAA0040 measurement,
omega-3 polyunsaturated fatty acid measurement,omega-3,D015525
CASP8/DDX58 protein level ratio in blood,CASP8/DDX58 protein,
PPP1R2/STK4 protein level ratio in blood,PPP1R2/STK4,
"esterified cholesterol measurement, low density lipoprotein cholesterol measurement",esterified cholesterol measurement,
level of STAM-binding protein in blood,level,D000082162
toll-interacting protein measurement,toll-interacting protein measurement,
CASP8/DARS1 protein level ratio in blood,CASP8/DARS1 protein,
IL6ST/LEPR protein level ratio in blood,IL6ST/LEPR protein,
kelch-like protein 12 measurement,kelch-like protein,
phospholipid amount,phospholipid amount,
MAP2K6/MGMT protein level ratio in blood,MAP2K6/MGMT protein,
glucose metabolism decline measurement,glucose metabolism,D044882
level of Hsc70-interacting protein in blood,level,D000082162
DNA/RNA-binding protein KIN17 measurement,DNA/RNA-binding protein,
BLMH/EGFR protein level ratio in blood,BLMH/EGFR protein,
Abnormal glucose homeostasis,Abnormal,D000067399
DECR1/MAP2K6 protein level ratio in blood,DECR1/MAP2K6 protein,
"free cholesterol measurement, low density lipoprotein cholesterol measurement",free cholesterol measurement,
CST3/RARRES2 protein level ratio in blood,CST3/RARRES2 protein,
kinesin-like protein KIF23 measurement,kinesin-like protein KIF23,
CCL5/CD40LG protein level ratio in blood,CCL5/CD40LG protein,
glucose metabolism disease,glucose metabolism disease,
FABP4/FGF21 protein level ratio in blood,FABP4/FGF21 protein,
IRAK4/MAP2K6 protein level ratio in blood,IRAK4/MAP2K6 protein,
"triglyceride measurement, blood VLDL cholesterol amount",triglyceride measurement,
NAD-dependent protein deacetylase sirtuin-2 measurement,NAD-dependent protein deacetylase sirtuin-2 measurement,
"cholesterol:total lipids ratio, blood VLDL cholesterol amount, chylomicron amount",cholesterol,D002784
MAP2K6/TBL1X protein level ratio in blood,MAP2K6/TBL1X protein,
"BMI-adjusted waist-hip ratio, sex interaction measurement",BMI-adjusted waist-hip ratio,
LAT2/MANF protein level ratio in blood,LAT2/MANF protein,
CDKN2D/HPCAL1 protein level ratio in blood,CDKN2D/HPCAL1 protein,
level of long-chain fatty acid transport protein 4 in blood,level,D000082162
CREG1/PLA2G15 protein level ratio in blood,CREG1/PLA2G15 protein,
CCL5/DKK1 protein level ratio in blood,CCL5/DKK1 protein,
HTRA2/TRIAP1 protein level ratio in blood,HTRA2/TRIAP1 protein,
CPB1/CTRB1 protein level ratio in blood,CPB1/CTRB1 protein,
GP6/SELP protein level ratio in blood,GP6/SELP protein,
KIFBP/MANF protein level ratio in blood,KIFBP/MANF protein,
FXN/TRIAP1 protein level ratio in blood,FXN/TRIAP1 protein,
"alcohol use disorder measurement, longitudinal alcohol consumption measurement",alcohol use disorder,
CASP3/HPCAL1 protein level ratio in blood,CASP3/HPCAL1 protein,
"cholesterol:total lipids ratio, intermediate density lipoprotein measurement",cholesterol,D002784
ANGPT1/PDGFA protein level ratio in blood,ANGPT1/PDGFA protein,
CNPY4/MANF protein level ratio in blood,CNPY4/MANF protein,
secreted and transmembrane protein 1 measurement,secreted,D053505
"total cholesterol measurement, intermediate density lipoprotein measurement",total cholesterol measurement,
"polycystic ovary syndrome, blood insulin amount",polycystic ovary syndrome,D011085
GP1BA/HBEGF protein level ratio in blood,GP1BA/HBEGF protein,
level of tyrosine-protein kinase receptor UFO in blood,level,D000082162
metalloproteinase inhibitor 4 measurement,metalloproteinase,D020781
apolipoprotein M measurement,apolipoprotein M,D000075243
CCL17/GRK5 protein level ratio in blood,CCL17/GRK5 protein,
APP/DAG1 protein level ratio in blood,APP/DAG1 protein,
low-density lipoprotein receptor-related protein 1B measurement,low-density lipoprotein receptor-related protein 1B,
level of clusterin-like protein 1 in blood serum,level,D000082162
CCL17/CCL22 protein level ratio in blood,CCL17/CCL22 protein,
HPCAL1/PMVK protein level ratio in blood,HPCAL1/PMVK protein,
"blood glucose amount, trait in response to hydrochlorothiazide",blood glucose,D001786
cAMP-regulated phosphoprotein 19 measurement,measurement,D054791
"cholesteryl ester measurement, low density lipoprotein cholesterol measurement",cholesteryl ester measurement,
docking protein 2 measurement,docking protein 2,
"cholesteryl ester measurement, intermediate density lipoprotein measurement",cholesteryl ester measurement,
level of sterile alpha motif domain-containing protein 9-like in blood,level,D000082162
"fetal genotype effect measurement, protein measurement, C-C motif chemokine 17 amount",fetal,D005314
level of thioredoxin domain-containing protein 15 in blood,level,D000082162
CCL5/CCN2 protein level ratio in blood,CCL5/CCN2 protein,
rho-related GTP-binding protein Rho6 measurement,rho-related GTP-binding protein,
polyadenylate-binding protein 4 measurement,polyadenylate-binding protein 4,
level of sarcolemmal membrane-associated protein in blood,level,D000082162
MESD/NCK2 protein level ratio in blood,MESD/NCK2 protein,
ICAM3/NOTCH1 protein level ratio in blood,ICAM3/NOTCH1 protein,
CNTN1/EGFR protein level ratio in blood,CNTN1/EGFR protein,
synaptic vesicle glycoprotein 2A measurement,synaptic vesicle,D013572
CTF1/ITGB1BP2 protein level ratio in blood,CTF1/ITGB1BP2 protein,
"lipid measurement, blood VLDL cholesterol amount",lipid measurement,
level of Src kinase-associated phosphoprotein 2 in blood,level,D000082162
SH3 domain-binding protein 2 measurement,SH3 domain-binding protein 2 measurement,
"lipid measurement, intermediate density lipoprotein measurement",lipid measurement,
level of CD2-associated protein in blood,level,D000082162
cholesterol in large VLDL measurement ,cholesterol,D002784
FADD/GRAP2 protein level ratio in blood,FADD/GRAP2 protein,
CXCL5/SPARC protein level ratio in blood,CXCL5/SPARC protein,
"iron biomarker measurement, ferritin measurement",iron,D007501
ITIH3/VCAM1 protein level ratio in blood,ITIH3/VCAM1 protein,
unique cartilage matrix-associated protein measurement,cartilage,D002356
"apolipoprotein A 1 measurement, apolipoprotein B measurement",apolipoprotein A 1,
"free cholesterol measurement, intermediate density lipoprotein measurement",free cholesterol measurement,
pulmonary surfactant-associated protein d measurement,pulmonary surfactant-associated protein,D037662
ITGB1/TFPI protein level ratio in blood,ITGB1/TFPI protein,
CD300E/CD300LF protein level ratio in blood,CD300E/CD300LF protein,
GGT1/MME protein level ratio in blood,GGT1/MME protein,
"myosin-binding protein C, slow-type measurement",myosin-binding protein C,
"low density lipoprotein cholesterol measurement, lipid measurement",low density lipoprotein cholesterol measurement,
VEGFC/ZBTB16 protein level ratio in blood,VEGFC/ZBTB16 protein,
"alcohol dependence, major depressive disorder",alcohol dependence,
cholesterol in chylomicrons and extremely large VLDL measurement ,cholesterol,D002784
"cholesteryl ester measurement, high density lipoprotein cholesterol measurement",cholesteryl ester measurement,
Secreted frizzled-related protein 3 measurement,Secreted,D053505
dual specificity protein phosphatase 4 measurement,dual specificity protein phosphatase 4 measurement,
MME/NT5E protein level ratio in blood,MME/NT5E protein,
level of tumor necrosis factor alpha-induced protein 8-like protein 2 in blood,level,D000082162
S100 calcium-binding protein B measurement,S100 calcium-binding protein B measurement,
"diet measurement, waist-hip ratio",diet measurement,
E3 ubiquitin-protein ligase RNF34 measurement,E3 ubiquitin-protein ligase RNF34,
DBNL/MANF protein level ratio in blood,DBNL/MANF protein,
free cholesterol in chylomicrons and extremely large VLDL measurement ,free cholesterol,
level of adhesion G-protein coupled receptor D1 in blood,level,D000082162
level of tumor necrosis factor alpha-induced protein 2 in blood,level,D000082162
